"","x"
"1","month"
"2","规模以上工业增加值_当期同比实际增速"
"3","发电量_当期同比增速"
"4","原煤产量_当期同比增速"
"5","焦炭产量_当期同比增速"
"6","粗钢产量_当期同比增速"
"7","钢材产量_当期同比增速"
"8","原油产量_当期同比增速"
"9","乙烯产量_当期同比增速"
"10","十种有色金属产量_当期同比增速"
"11","汽车产量_当期同比增速"
"12","工业锅炉产量_当期同比增速"
"13","金属集装箱产量_当期同比增速"
"14","固定资产投资完成额不含农户_当期实际同比增速"
"15","固定资产投资完成额不含农户_第一产业_当期实际同比增速"
"16","固定资产投资完成额不含农户_第二产业_当期实际同比增速"
"17","固定资产投资完成额不含农户_第三产业_当期实际同比增速"
"18","房地产开发投资_当期实际同比增速"
"19","房地产开发企业新增固定资产_当期实际同比增速"
"20","房地产开发投资_住宅_当期实际同比增速"
"21","房地产开发企业房屋施工面积_当期同比增速"
"22","房地产开发企业房屋竣工面积_当期同比增速"
"23","房地产开发企业商品房销售面积_当期同比增速"
"24","房地产开发企业商品房销售额_当期实际同比增速"
"25","房地产开发企业购置土地面积_当期同比增速"
"26","国房景气指数_当期"
"27","消费者预期指数_当期_一阶差分"
"28","消费者满意指数_当期_一阶差分"
"29","消费者信心指数_当期_一阶差分"
"30","社会消费品零售总额_当期实际同比增速"
"31","进出口总额美元_当期实际同比增速"
"32","出口额美元_当期实际同比增速"
"33","进口额美元_当期实际同比增速"
"34","出口商品价格指数上年同期100_当期"
"35","进口商品价格指数上年同期100_当期"
"36","出口商品数量增长指数上年同月100_当期"
"37","进口商品数量增长指数上年同月100_当期"
"38","贸易条件_一阶差分"
"39","出口占进口比例_一阶差分"
"40","期货成交量_郑州商品交易所_当期同比增速"
"41","期货成交额_郑州商品交易所_当期同比增速"
"42","期货平均价格_郑州商品交易所_一阶差分"
"43","期货成交量_大连商品交易所_当期同比增速"
"44","期货成交额_大连商品交易所_当期同比增速"
"45","期货平均价格_大连商品交易所_一阶差分"
"46","期货成交量_上海期货交易所_当期同比增速"
"47","期货成交额_上海期货交易所_当期同比增速"
"48","期货平均价格_上海商品交易所_一阶差分"
"49","外汇储备_期末同比增速"
"50","汇率指数收益率"
"51","l即期汇率美元兑人民币_一阶差分"
"52","l即期汇率欧元兑人民币_一阶差分"
"53","l日元兑人民币平均汇率_当期_一阶差分"
"54","l即期汇率英镑兑人民币_一阶差分"
"55","一般公共预算支出_当期实际同比增速"
"56","一般公共预算收入_当期实际同比增速"
"57","财政收支比例"
"58","金融机构人民币各项贷款_期末同比增速"
"59","金融机构人民币各项存款_期末同比增速"
"60","金融机构存贷差同比增速"
"61","金融机构短期贷款余额同比增速"
"62","金融机构中长期贷款余额同比增速"
"63","流通中货币M0_期末同比增速"
"64","货币M1_期末同比增速"
"65","货币和准货币M2_期末同比增速"
"66","社会融资规模存量同比增速"
"67","居民消费价格指数上年同期100_当期"
"68","居民消费价格指数上年同期100_食品_当期"
"69","居民消费价格指数上年同期100_衣着_当期"
"70","居民消费价格指数上年同期100_交通和通信_当期"
"71","居民消费价格指数上年同期100_居住_当期"
"72","工业生产者出厂价格指数上年同期100_当期"
"73","工业生产者出厂价格指数上年同期100_采掘品_当期"
"74","工业生产者出厂价格指数上年同期100_原料_当期"
"75","工业生产者出厂价格指数上年同期100_加工业产品_当期"
"76","工业生产者出厂价格指数上年同期100_生活资料_当期"
"77","工业生产者出厂价格指数上年同期100_食品_当期"
"78","工业生产者出厂价格指数上年同期100_衣着_当期"
"79","工业生产者出厂价格指数上年同期100_一般日用品_当期"
"80","工业生产者出厂价格指数上年同期100_耐用消费品_当期"
"81","企业商品价格指数上年同期100_当期"
"82","企业商品价格指数上年同期100_农产品_当期"
"83","企业商品价格指数上年同期100_矿产品_当期"
"84","企业商品价格指数上年同期100_煤油电_当期"
"85","工业生产者购进价格指数上年同期100_当期"
"86","工业生产者购进价格指数上年同期100_燃料动力类_当期"
"87","工业生产者购进价格指数上年同期100_黑色金属材料类_当期"
"88","工业生产者购进价格指数上年同期100_有色金属材料和电线类"
"89","工业生产者购进价格指数上年同期100_化工原料类_当期"
"90","工业生产者购进价格指数上年同期100_木材及纸浆类_当期"
"91","工业生产者购进价格指数上年同期100_建筑材料及非金属矿类"
"92","工业生产者购进价格指数上年同期100_其它工业原材料及半成"
"93","工业生产者购进价格指数上年同期100_农副产品类_当期"
"94","工业生产者购进价格指数上年同期100_纺织原料类_当期"
"95","银行间同业拆借加权平均利率_当期_一阶差分"
"96","银行间同业拆借加权平均利率_隔夜_当期_一阶差分"
"97","银行间同业拆借加权平均利率_7天_当期_一阶差分"
"98","银行间同业拆借加权平均利率_1个月_当期_一阶差分"
"99","银行间同业拆借加权平均利率_2个月_当期_一阶差分"
"100","银行间同业拆借加权平均利率_3个月_当期_一阶差分"
"101","人民币存款准备金率大型存款类金融机构月_一阶差分"
"102","人民银行对金融机构贷款利率再贴现利率月_一阶差分"
"103","人民银行对金融机构贷款利率20天以内月_一阶差分"
"104","人民银行对金融机构贷款利率3个月以内月_一阶差分"
"105","人民银行对金融机构贷款利率6个月以内月_一阶差分"
"106","人民银行对金融机构贷款利率1年月_一阶差分"
"107","中长期贷款利率5年以上月_一阶差分"
"108","中长期贷款利率3至5年含月_一阶差分"
"109","中长期贷款利率1至3年含月_一阶差分"
"110","短期贷款利率6个月至1年含月_一阶差分"
"111","短期贷款利率6个月含月_一阶差分"
"112","活期存款利率月_一阶差分"
"113","定期存款利率3个月月_一阶差分"
"114","定期存款利率6个月月_一阶差分"
"115","定期存款利率1年整存整取月_一阶差分"
"116","定期存款利率2年整存整取月_一阶差分"
"117","定期存款利率3年整存整取月_一阶差分"
"118","中债国债到期收益率0年_一阶差分"
"119","中债国债到期收益率1个月_一阶差分"
"120","中债国债到期收益率3个月_一阶差分"
"121","中债国债到期收益率6个月_一阶差分"
"122","中债国债到期收益率9个月_一阶差分"
"123","中债国债到期收益率1年_一阶差分"
"124","中债国债到期收益率3年_一阶差分"
"125","中债国债到期收益率5年_一阶差分"
"126","中债国债到期收益率10年_一阶差分"
"127","期限利差_一阶差分"
"128","上证综指收益率"
"129","深证综指收益率"
"130","中债综合指数收益率"
"131","中债总指数收益率"
"132","中债固定利率债券指数收益率"
"133","中债浮动利率债券指数收益率"
"134","中债长期债券指数收益率"
"135","中债中短期债券指数收益率"
"136","中债银行间债券总指数收益率"
"137","中债国债总指数收益率"
"138","中债金融债券总指数收益率"
"139","上证基金指数收益率"
"140","美国工业生产指数全部工业非季调_当期同比增速"
"141","美国CPI当月同比"
"142","美国失业率季调_一阶差分"
"143","美国联邦基金利率日_一阶差分"
"144","美国标准普尔500指数收盘价收益率"
"145","美国纳斯达克综合指数收盘价收益率"
"146","美国道琼斯工业平均指数收盘价收益率"
